10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40,40,50,75,80,90,95,25,65,70,25,90,80,95,35
10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40,40,50,75,80,90,95,25,65,70,25,90,80,95,35
40,50,75,80,90,95,25,65,70,25,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40
40,50,75,80,90,95,25,65,70,25,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40
40,50,75,80,90,95,25,65,70,25,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40
10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40,40,50,75,80,90,95,25,65,70,25,90,80,95,35
10,20,30,50,40,45,35,15,45,55,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40
40,50,75,80,90,95,25,65,70,25,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40
40,50,75,80,90,95,25,65,70,25,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40
10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40,40,50,75,80,90,95,25,65,70,25,90,80,95,35
75,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40,40,50,75,80,90,95,25,65,70,25,90,80,95,35
40,50,75,80,90,95,25,65,70,25,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40
45,55,60,70,65,20,25,40,40,50,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40
50,40,45,35,15,45,55,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40,25,40,20
40,40,50,75,80,90,95,25,65,70,25,90,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20
10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40,40,50,75,80,90,95,25,65,70,25,90,80,95,35
10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40,40,50,75,80,90,95,25,65,70,25,90,80,95,35
40,50,75,80,90,95,25,65,70,25,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40
45,55,60,70,65,20,25,40,40,50,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40
50,40,45,35,15,45,55,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40,25,40,20
40,40,50,75,80,90,95,25,65,70,25,90,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20
65,20,65,50,40,45,35,15,45,55,60,70,65,20,25,40,40,50,75,80,90,95,25,65,70,25,90,80,95,35
10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40,40,50,75,80,90,95,25,65,70,25,90,80,95,35
40,50,75,80,90,95,25,65,70,25,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40
45,55,60,70,65,20,25,40,40,50,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40
50,40,45,35,15,45,55,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40,25,40,20
55,40,50,75,80,90,95,25,65,70,25,90,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20
40,50,75,80,90,95,25,65,70,25,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40
45,55,60,70,65,20,25,40,40,50,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40
50,40,45,35,15,45,55,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70,65,20,25,40,25,40,20
40,45,40,40,50,75,80,90,95,25,65,70,25,90,90,80,95,35,10,20,30,50,40,45,35,15,45,55,60,70
